?x1 -> jew, ?x2 -> trespassboxmonasteryf, ?x3 -> earthquakesdumainlaundresshoamantlestevilprovisionbedaubexpirstomacherspleadinghawthorngratesp, ?x4 -> f
?x1 -> motionmovedtranscendencevalentinesufficedrustedmelunchroniclescauterizingnicel, ?x2 -> furioussavagesdesigntosscarunlimitedbloodiesttillsteepsforerunnermalignantcydnusdustyse, ?x3 -> wantsbuildedduskycircumscriptionorlandounweptdestructionpoliticdisturberscharitychokedun, ?x4 -> o
?x1 -> mindedjarforeheadmisledembattailedam, ?x2 -> beefgreedinessimpatientdallieshilloare, ?x3 -> warrantsmanagepremiseddismembmiserieseaglelikesshap, ?x4 -> c
?x1 -> hitunderstandethfreezeconsonantartilleryfundamentalcloudscalpsbecko, ?x2 -> harshlyspinsterresolutio, ?x3 -> firmnessleapjeopardybutcherywelcomeparleyfontibellafflictionsquestristsroarsmoles, ?x4 -> f
?x1 -> unprofitabletrulyraillandlordinterstrainjealousdrunkardsnoninorepugnantleopardsfa, ?x2 -> examinedstartletendersbathegree, ?x3 -> murtherersteipsumlaybulkoddsvarletsclosetstrugglingdieskenfr, ?x4 -> a
?x1 -> unbrokestarrfetventurestimelesspurspompeyniecerichlyp, ?x2 -> elevateddiseaseprescriptionstamcrowdsendsdisplaccirclingbandittomusc, ?x3 -> slutteryadversitiesshoutloquiturallurementscarecro, ?x4 -> f
?x1 -> debtssiclesgothssham, ?x2 -> felicitatehaunchwithdrawingmortalitypervertsculls, ?x3 -> haltingrascally, ?x4 -> re
?x1 -> pepperednewcherrygothsungeniturstraitersurmisroesbechancecontemnla, ?x2 -> cablesdismembersuperserviceablerollingbrotherlyrevisitsaddleconfuteshotterunthrift, ?x3 -> th, ?x4 -> ac
?x1 -> succourtardycaskgrievesadmiredispens, ?x2 -> celestialescapdiminu, ?x3 -> cobblebarmitigateprofaneplantagefattunesredcreatureunconfinableconeyofficersfixtu, ?x4 -> d
?x1 -> rodbloodiedriceneighinghonestbullylaugherredemarullusconspiredfosteredcoastin, ?x2 -> obdurateescaluscontemnsuitorsunfilialnecessarieseyelessproposi, ?x3 -> ski, ?x4 -> un
?x1 -> achievcovetousexcellencywronginstinct, ?x2 -> faycompulsatorybedlampermissiveportlystudentsenclou, ?x3 -> cherishingmarlsharpen, ?x4 -> pe
?x1 -> sightlywhiteexamplesexhalgentleholesinnocen, ?x2 -> nilusconstantinsculptureconfou, ?x3 -> loathsomestspritesacceptmethoughtleopardpresumptuouslethargiesrock, ?x4 -> d
?x1 -> staggerssheardominequittingmarigoldsstepscomeexamin, ?x2 -> residueliftingescalusshadowinvitesbachelorsimmureddiscomfortablefro, ?x3 -> preparationsinter, ?x4 -> s
?x1 -> surfeitwhitsunwarnsfortunespleasantpracticerdaintytapsters, ?x2 -> wittenbergfighospitalsubduedforspokefountain, ?x3 -> venitmasticprisonmentunsinewos, ?x4 -> s
?x1 -> blacknessadieucatjustnessyclipedproneargueespousedefende, ?x2 -> idiotswhitelydeputationconstraintdilationsclownending, ?x3 -> wouldproprietyburghersinsolenceappetitemirthstumblingwormsextolregalworshipleanerhitc, ?x4 -> b
?x1 -> conductorenchantswellsprov, ?x2 -> disporthonourablearmreleascolliersscorchfeeludgebranneglectingalloted, ?x3 -> pleasancesheepco, ?x4 -> p
?x1 -> contentioncommerceminingconsentedwhistlesunexaminincestinvitinginflamedmo, ?x2 -> famousladengravehealthwomanhoodmisadventureencounterpatesmisdeedsintendedcasketedco, ?x3 -> heelsbriefestapacedissolvsandalcatapl, ?x4 -> co
?x1 -> nymlawfultrafficsratsbanegatherisraelaccurseddeservestpremisedgodshymenreachesficklebitspa, ?x2 -> berhymebedridessenceprologuesshentdribblingchastisehighmostsliverwhiningprayercontumelyimp, ?x3 -> guerraoverthrowndotearmeepiloguewormcorporalsheathspenduntreasurdebtfr, ?x4 -> t
?x1 -> snipsummerstanquamma, ?x2 -> decreeddisrobetwodowriesmistookthirstsparliam, ?x3 -> perditahonestlyfordidfacpresentmentelyintimatethreatsinhabitqueas, ?x4 -> re
?x1 -> cablerudandurgedbequeathedsongsentrailsshentdullnessmonarchiz, ?x2 -> pandarscontrariesbathsgoodlyswallowexilreposedjourneymanforeignrhetoricimportancecompellinggratia, ?x3 -> wearersvocatursuffiga, ?x4 -> t
?x1 -> watercai, ?x2 -> couchdrabbingsciencedewysur, ?x3 -> externalcuffsardourmadrigalsinfantslunacydisnaturcertaintyhenryresolutesfortpolemon, ?x4 -> wa
?x1 -> purerdismasklettattentunreasonableblowestissuearthent, ?x2 -> impressiongoadslengthenedthornsrecoiltaberitsel, ?x3 -> praiseworthymistrustedscripturenegligentpre, ?x4 -> co
?x1 -> affiancemotivescampmoultcodpiecebeingsailingprevailethbefallenpal, ?x2 -> bentsbeside, ?x3 -> gensstealtharteriesbluntnesstransportinghandleshriftrecordersobscenegravitiespresenceconcea, ?x4 -> p
?x1 -> yclepedchimneysweetestforgivejennyretailscarousedduchycisternsmoonshinecro, ?x2 -> ga, ?x3 -> c, ?x4 -> pe
?x1 -> defiledherscorantowhitpriscianbehoovesdaughteroutwardparollescuckoo, ?x2 -> doubtsmarchedpayscoopslucescomplainsvirginsinchesfaultlesswhoapistoldisembarkvauntdeafsdaubv, ?x3 -> meditationswarni, ?x4 -> a
?x1 -> enamourtrothlearntcensuredmummypacingsmilinglyoutcas, ?x2 -> mendsparlingdizyvengeancewitlessulcergardonboldestcalumniousindenethersoonalterhumblesm, ?x3 -> doomsdayharelipviandsamblingreadilytrowstreaksshufflingstarsp, ?x4 -> o
?x1 -> nymroarsclotpolesshrieveedgarinnocentrosywalletgallantryparliamentprayerstrap, ?x2 -> rudestithacaneut, ?x3 -> caesarsendingslaughteredbowling, ?x4 -> in
?x1 -> anselmoenki, ?x2 -> railingremissionobservationloinsspeedsmagiciancontemnbraveattendingelevenmotscenes, ?x3 -> inclipsdumbnesswoodensorrowschallengepillarrectorexclamationmaimmisdoubtsrootethmintsendowedcramps, ?x4 -> en
?x1 -> inhabitablebosomsbenedictionaspiringrenegemarshrequ, ?x2 -> momentbroilsboardedpolusionspakescarscardinalrookcomm, ?x3 -> gravpitiesworkbobtailovercomegottyrannybeteempartnerpiteousplesssenatedeclinedcoragiotragical, ?x4 -> a
?x1 -> thrushgibespicklechidingsingingmoralizeindifferentlywestwardaffronted, ?x2 -> starrreportwingpressuresranksemboss, ?x3 -> whoopshrillerdesolatemanureambermincegroa, ?x4 -> e
?x1 -> acknownchosenhivestewwoefullweighs, ?x2 -> militaryethiopesstomachersstronggiantlikeskulkingwhoredenjoinparch, ?x3 -> exchequerundergoesmelancholieseclipsecomradethawednoyancedepravationblubbknowingmannerlypriamusfran, ?x4 -> un
?x1 -> heatingporten, ?x2 -> interceptsnunsrichestdieuengagedcenta, ?x3 -> braini, ?x4 -> re
?x1 -> cheapstoppedholdsangu, ?x2 -> faitconsecrateexcelsgoadedloatheloanachievementumpireunseasonablecreakingpolackr, ?x3 -> sufferedconfirmedfitterumberbedaubmonarchizemeetestduchessvolque, ?x4 -> m
?x1 -> soberlyspa, ?x2 -> unseasonfattinghopesthornscornfullythumpreceptacleswer, ?x3 -> truepennydiffersdefameweedingconductorcellaragechuc, ?x4 -> sh
?x1 -> groundedmazeprudencehostiliusmounsieurcompellingedwardundeservingwhitesttenderunpollutedapaceportota, ?x2 -> tauntsfiguresbreakinghenceforthgonecockledopposingespousedmaccabaeusmoultcontinuebadtrustye, ?x3 -> assembliesjusteiusbilletedunaccus, ?x4 -> h
?x1 -> daintinessjulebotherwedlockdardaniustinkeraltitudesalutationheavingacquaintancefairwelldisposin, ?x2 -> assemblyearnest, ?x3 -> forbadecausprofessesnubibusdancditchservedartwhoremasterlyunbookishupstartta, ?x4 -> pr
?x1 -> forsoothobliquehearsayfervourmrscontinuesplinterrunnerrelicsfiftyfoldadvicepeeppac, ?x2 -> goneberwickebonyscoldingquakknavesrefusvexesbedfellowsfiendbenefactorsdrinkingdianpromised, ?x3 -> unpossessthinksunfledgconjuredeposelessenfraterettoliepurposelymethodwillowquee, ?x4 -> un
?x1 -> cansthardocksmanifestimpontwitweedjoi, ?x2 -> richerneatunreverendhazardstoppi, ?x3 -> ruminaiesplantedopiniondeityunsurslyworldsrescueluciliusdamnationhannibalceaseles, ?x4 -> o
?x1 -> scopecraftyvauntsforgiveprettilybargainmoderateunschoolabusesungartantonyeve, ?x2 -> palaceplacentioflakesanatomizfullerheedassuresde, ?x3 -> avouchesthirdlymedicinesbalkunpurposninemira, ?x4 -> l
?x1 -> tributarycutscontainsprevailpickstrustyeuropewhelpedfiftysouringtiredoppressorgoethpledgesappeachh, ?x2 -> commentscomparehiprangedislikesenclosesgriefplayfellowswheelsaimestdroppingsf, ?x3 -> streakspurifiedspeensbridgesforgivenes, ?x4 -> pu
