?X1 -> rec, ?X2 -> attractsexperiencebeanfarestringostentaredoubtss, ?X3 -> forswornparentagetacklefettervarriuswoefullestdischargingprotesterdamedisastero, ?X4 -> d, ?X5 -> forswornparentagetacklefettervarriuswoefullestdischargingprotesterdamedisastero
?X1 -> willowdisdainfulboonflutesemptyblowsdebtorbirthsrespec, ?X2 -> gazedconfederatesaspiringembracementswednesda, ?X3 -> childnesscondolementgratulateunfitunhousedshearersknappceremoniesberhymearnedargu, ?X4 -> pr, ?X5 -> childnesscondolementgratulateunfitunhousedshearersknappceremoniesberhymearnedargu
?X1 -> giverspiteouslymedalalcibiadescockledthoudownrightinterestapproachingpurchaseawearybidingn, ?X2 -> credenceforerunningdiffidenceamendmentbridegroomcertainlyun, ?X3 -> conceitedabsenceminuteinnyear, ?X4 -> p, ?X5 -> conceitedabsenceminuteinnyear
?X1 -> browndepressscoldswhosomort, ?X2 -> rewa, ?X3 -> surelynotedlydisclaimingruddinessincureaterchamdrossytoyberries, ?X4 -> p, ?X5 -> surelynotedlydisclaimingruddinessincureaterchamdrossytoyberries
?X1 -> huswifeviolencegenerallysquarwordshingesmonarchizeun, ?X2 -> quaecacodemongraffsw, ?X3 -> enviousbrimstoneq, ?X4 -> en, ?X5 -> enviousbrimstoneq
?X1 -> supsresistingvipercheerprodigyfal, ?X2 -> enseardancesinventoriallycassiusprenominatepilemellowthanklesshighhearerquestionssteadsjointr, ?X3 -> favorablyimpartpropo, ?X4 -> d, ?X5 -> favorablyimpartpropo
?X1 -> likerplodloversticklesma, ?X2 -> drudgesvillaindrawerpaltrycorb, ?X3 -> begetschameleonwoodenritesatedinterrcozshoemakerelephantsleadingsipvalessustainingowl, ?X4 -> pr, ?X5 -> begetschameleonwoodenritesatedinterrcozshoemakerelephantsleadingsipvalessustainingowl
?X1 -> welcomesproudestuncurb, ?X2 -> quincesperceivesambitionriperfornicationinjureignominiousdep, ?X3 -> accessesdislikarrestedprolixitybubblingprimer, ?X4 -> di, ?X5 -> accessesdislikarrestedprolixitybubblingprimer
?X1 -> planetconserveshriftsmokysnailsworshipsobservancespo, ?X2 -> purposeflaskexhalationdelightingpropscarcabin, ?X3 -> wedlockassailingdominionsinhoopparc, ?X4 -> d, ?X5 -> wedlockassailingdominionsinhoopparc
?X1 -> bendeddoorsvineslenderunstuffrecountingunbittedmustachiostandardshocitalygentilitytrotsgoldenfit, ?X2 -> holdenhazelnutvaluesdecaycognitioncammewlingwalksupmostvastidityimbecilityodesforthcomingglanceshap, ?X3 -> posiesimperfectionssoldwristjewelsuppliedbreezeawhilesmithunintelligen, ?X4 -> s, ?X5 -> posiesimperfectionssoldwristjewelsuppliedbreezeawhilesmithunintelligen
?X1 -> counterfeitskitesmonarchproserpinadeservingoracletrunkspredominantpatheticalpalpablea, ?X2 -> movethkillsgossamerusuringrelierrobertd, ?X3 -> unsheathedexcommunicatecreatordishcloutfor, ?X4 -> b, ?X5 -> unsheathedexcommunicatecreatordishcloutfor
?X1 -> terraoccasionsgravestun, ?X2 -> peltingquayforestdivisionslimbhystericabatteredfounta, ?X3 -> establishadvicenovicehallowfishifiedinteriormediterr, ?X4 -> f, ?X5 -> establishadvicenovicehallowfishifiedinteriormediterr
?X1 -> procuresintemperatedeceitfulbenentitledishevelledinterimstrumpetfeignedrussiaen, ?X2 -> enclosingvehemencedallyingbeweptcouriersebastianglareschristenwantonnessoutwar, ?X3 -> troyanspompbutlerspringmatedprestoathraptureextolledincapablethygoodnightenfoldingseruptionsn, ?X4 -> f, ?X5 -> troyanspompbutlerspringmatedprestoathraptureextolledincapablethygoodnightenfoldingseruptionsn
?X1 -> downprophesyingaton, ?X2 -> hanged, ?X3 -> enrolledexpectationbathedisposingcrassusawooingprincelych, ?X4 -> h, ?X5 -> enrolledexpectationbathedisposingcrassusawooingprincelych
?X1 -> deliverancepocketsarbitrementfinestoutfacedeathbedridingpreparebudgelieuacquittanceloaveslea, ?X2 -> drunkardssmatchrobbbetidefloodheartyclov, ?X3 -> blessingstormyassistanceanywherefeudimmuredinsensiblehatfieldcombind, ?X4 -> f, ?X5 -> blessingstormyassistanceanywherefeudimmuredinsensiblehatfieldcombind
?X1 -> swallowhinderspanielstarvel, ?X2 -> cheatedvacantoffaladvancementmonthparsonfailsashamedfranklyimportunitycyclopseasin, ?X3 -> brotherhoodsreigniera, ?X4 -> re, ?X5 -> brotherhoodsreigniera
?X1 -> venuscorruptiondeceiving, ?X2 -> wholecheaperbestainednapchastisedauntlessseverfriendingachievementsorgilloustoil, ?X3 -> vastlyunhappmischiefsamazementthef, ?X4 -> h, ?X5 -> vastlyunhappmischiefsamazementthef
?X1 -> unbraidedperformerintolerableadieusencouragementnecessitiedbeheldlady, ?X2 -> mulesparadoxespiblesci, ?X3 -> groundtrifleaddressingeve, ?X4 -> u, ?X5 -> groundtrifleaddressingeve
?X1 -> draughtdialectprecurseancestorblackbetrothssundaysprizedlenadungeontho, ?X2 -> hincsympathizedlessmercutiofirstlingsfloutvaultshostagessurgefavouritesservingpotentsfixessoftens, ?X3 -> usuriesestrangedparchedquietknaveriesiterationdisli, ?X4 -> en, ?X5 -> usuriesestrangedparchedquietknaveriesiterationdisli
?X1 -> cablepilatevaluewrathclaretcondemnoratoralabasterremunerationtroyanlifeswaddlingshiningespi, ?X2 -> abominationeatsundressedunbracedgrapescanariesstoppingsonneti, ?X3 -> perusingsanctimoniesoffalmurderedcr, ?X4 -> r, ?X5 -> perusingsanctimoniesoffalmurderedcr
?X1 -> bravmusicianallotshamesactsstringdumbinvocatehorriblepickaxewightssuperficiallydulcetmerch, ?X2 -> uprisingsuddentallowhumanwormsproverbsclaimssisterlydau, ?X3 -> peakbetrothedthereuponmournheritagebreedsindexesillregener, ?X4 -> r, ?X5 -> peakbetrothedthereuponmournheritagebreedsindexesillregener
?X1 -> manenttroatdispleasuresalmight, ?X2 -> unfedpooleappointmentssalthumphreyquarr, ?X3 -> infoldsixteeneasydissemblingbreathlesshoursendearblackness, ?X4 -> in, ?X5 -> infoldsixteeneasydissemblingbreathlesshoursendearblackness
?X1 -> falconersbearsdeceitchickensesteemsacts, ?X2 -> hightstandethdifficultie, ?X3 -> suitorsmisplaclidscapsforbademaidenhoodsharplyrepayseatsmistrustedwhereuponyarereallylurks, ?X4 -> e, ?X5 -> suitorsmisplaclidscapsforbademaidenhoodsharplyrepayseatsmistrustedwhereuponyarereallylurks
?X1 -> practicingweakesttopgall, ?X2 -> dowriestindercounterpoiseimmoderateunsoundedflatsdebonai, ?X3 -> wearisomebeheldtellerwanenobarbusarbitratebrooksheartlyhivemowingh, ?X4 -> pr, ?X5 -> wearisomebeheldtellerwanenobarbusarbitratebrooksheartlyhivemowingh
?X1 -> attorneyedbeckpetconcludinsta, ?X2 -> hasawhil, ?X3 -> ense, ?X4 -> re, ?X5 -> ense
?X1 -> meltspreachinglaneunneighbourlywakingshardsanoncaeloqu, ?X2 -> enviessavemarchedbenvoliorequircurbedharbouringchimneysmaltailpei, ?X3 -> bawdsengrosssupposesstonyabettormee, ?X4 -> s, ?X5 -> bawdsengrosssupposesstonyabettormee
?X1 -> dullardg, ?X2 -> prostrateoffendpleatsluresinglenessextremelyspongepenancenourishseemtendanceirelandcoventqu, ?X3 -> wasscaffoldageadmirerungremovedcatsspokenmumblingirelandoathablemandrakeshemestowdefiespure, ?X4 -> b, ?X5 -> wasscaffoldageadmirerungremovedcatsspokenmumblingirelandoathablemandrakeshemestowdefiespure
?X1 -> platestockhildingsobligationarointmulesstreakamazedanatomyfleeringveritablebecksupposesunpractis, ?X2 -> edgelesscogscombmaidenheadscarsboardtriumphi, ?X3 -> blankscrownersendinghavingresigndeterminbutlerreekingunfeed, ?X4 -> p, ?X5 -> blankscrownersendinghavingresigndeterminbutlerreekingunfeed
?X1 -> concavelanguagelessmettleblamesdeputingamplefestinatelyfeedin, ?X2 -> crimedalliesexorcistrarenesswhenaswinemasticlongestrehearsemajestictemp, ?X3 -> unstuffovernorwegianarrest, ?X4 -> pr, ?X5 -> unstuffovernorwegianarrest
?X1 -> grandamwelshmensearchingaltarsrecoverabletunelewdlyincreasecarnallydercetasemulatorfra, ?X2 -> aeacidacogcarnallygropmakesnotwithstandingbulkminceheathencorrosiveanguishs, ?X3 -> stationfearfullyintolerableov, ?X4 -> s, ?X5 -> stationfearfullyintolerableov
?X1 -> farmhousepothecarylayingosierchoppprophesiertribworshipful, ?X2 -> uncertainlysoundnesstriumphsbesmirchrecountmentsscrippagemewlingworshippcalletcaitiffssho, ?X3 -> spoonplottedrestitutionremotionovertakeajaxseveralsdefilescholarlystoopinguntreasurto, ?X4 -> s, ?X5 -> spoonplottedrestitutionremotionovertakeajaxseveralsdefilescholarlystoopinguntreasurto
?X1 -> disorderfallowmeedp, ?X2 -> seemvenomglazst, ?X3 -> changefularrestedwiryeasysp, ?X4 -> pe, ?X5 -> changefularrestedwiryeasysp
?X1 -> convincedbarbermongerforgobeardcanzonettainturecutstablesdi, ?X2 -> scriptoppoculareasesedgelessquietblushedwiselyflat, ?X3 -> visageappearawryjusticersvierespiteseasideapemantusmapdisordersslopinfectious, ?X4 -> w, ?X5 -> visageappearawryjusticersvierespiteseasideapemantusmapdisordersslopinfectious
?X1 -> standestargoplasttaperstairslivestcuckoobucketsdepravationinterviewbehoovesattemptedshovleaguesba, ?X2 -> mouldyde, ?X3 -> tastespanishurgetaxationfullestappliessolomonreposingpiaapostlesfehemen, ?X4 -> un, ?X5 -> tastespanishurgetaxationfullestappliessolomonreposingpiaapostlesfehemen
?X1 -> approachesintreatcontributionusurpsspaniardsucceedersh, ?X2 -> frowngorgetwrestunbentmadnessredoubledcouldfurnishbankroutcorsesquitretortun, ?X3 -> thousandbalefulcoveredandromachehoun, ?X4 -> co, ?X5 -> thousandbalefulcoveredandromachehoun
?X1 -> napkinsmalhechostaidheartinessparrotthrowestmoyloosingremovstatesmanspringingfirstexcommunica, ?X2 -> hoarspalerevening, ?X3 -> shapdoitentreatingdisputesdisuniteniecerecordsrestoresponderhallattentivechastisementsemblance, ?X4 -> pe, ?X5 -> shapdoitentreatingdisputesdisuniteniecerecordsrestoresponderhallattentivechastisementsemblance
?X1 -> essentialphebessensesclamorsp, ?X2 -> roiindiscreetplainsdifferingbethinkfulfi, ?X3 -> wormjollitybranchbloominstigatorrapesunicornkenti, ?X4 -> c, ?X5 -> wormjollitybranchbloominstigatorrapesunicornkenti
?X1 -> amendmenttimorousbumbastac, ?X2 -> drainsshillingcourtezanstri, ?X3 -> clergyman, ?X4 -> r, ?X5 -> clergyman
?X1 -> inurnadulterateunlockedcowishdaintilyproroguedungeniturhurriedoutstretchchimneythereunto, ?X2 -> rabblementweedystewsvulturespectacleselsinorereelingmortbarbedenjoyeda, ?X3 -> fearfullylemanwritedrunkardscontradictpoinsunfoldsherobiscuitexitvulgarstalkspheezeoffenceslimbsg, ?X4 -> p, ?X5 -> fearfullylemanwritedrunkardscontradictpoinsunfoldsherobiscuitexitvulgarstalkspheezeoffenceslimbsg
?X1 -> abstainsinklesembracingdrivethpromptsdevotionadvisingsvastremainedch, ?X2 -> troublerdivertedmournbuygrandameeagerlybrightnesssnappfrederic, ?X3 -> embracedneptuneislanderscombat, ?X4 -> a, ?X5 -> embracedneptuneislanderscombat
?X1 -> fleshlystealercampsidlessobcalais, ?X2 -> mixturespepperedbrevitycoopsprovokerewarde, ?X3 -> pee, ?X4 -> c, ?X5 -> pee
?X1 -> juleopenlydiminutiongrandsirestensherebyresidesavagesblocktendancewriterdenypalatingenforcedblasted, ?X2 -> pashheavilysectaryweedingprecorenragedtubsvarl, ?X3 -> settlestacademeadjoiningexcessjestersperfumfindembracesnip, ?X4 -> w, ?X5 -> settlestacademeadjoiningexcessjestersperfumfindembracesnip
?X1 -> margflighttannerallegethumbmountsswainseditiousquantitysicilbetimesrevealin, ?X2 -> unluckilyhumbleunhappnutmegstartnessepilepsyrenouncecloutspaduaquicklyjumpfishp, ?X3 -> figuretailorsswee, ?X4 -> m, ?X5 -> figuretailorsswee
?X1 -> archdelightpre, ?X2 -> endowmentsmerrimentrealmhumblingdemande, ?X3 -> moonspistolspeechlessquipcreationsingethwhirlwindwhisperslingsorthographymouldethspeakspunch, ?X4 -> b, ?X5 -> moonspistolspeechlessquipcreationsingethwhirlwindwhisperslingsorthographymouldethspeakspunch
?X1 -> drearningme, ?X2 -> ba, ?X3 -> cozhotterrazedapostrophascelerityforeignersdensinflamalliessignifyenmitycordel, ?X4 -> r, ?X5 -> cozhotterrazedapostrophascelerityforeignersdensinflamalliessignifyenmitycordel
?X1 -> pilluncoveredfirstpurchasetribphilosopherspreambulatebar, ?X2 -> carriageserectingwolfvindicativedriessoarsr, ?X3 -> entreatme, ?X4 -> in, ?X5 -> entreatme
?X1 -> displacestendlesstramplehoneyingh, ?X2 -> devourprofesschaffcopiedlendingscallsprizerslainesteemedoccupypuddledekearrivancegrandmothertimbe, ?X3 -> bornpelicanpyrrhusgrainedalexasexchequerantickwedtithedconstruesobsweightsdrinksc, ?X4 -> u, ?X5 -> bornpelicanpyrrhusgrainedalexasexchequerantickwedtithedconstruesobsweightsdrinksc
?X1 -> mintssociableseestconsonantusuryscoffermeetstandethtarentummedeawisdomsm, ?X2 -> crassusbetro, ?X3 -> messalaeveryonepotencykissesparishunmoandeepsartificerexeuntbarefootpensive, ?X4 -> f, ?X5 -> messalaeveryonepotencykissesparishunmoandeepsartificerexeuntbarefootpensive
?X1 -> sepulchreunawaresmettleconfrontkettlerevolutionstamwor, ?X2 -> soldiersmartedweedyscarcelyensignprologuesmeardedicatedjointuremisanthropo, ?X3 -> poster, ?X4 -> in, ?X5 -> poster
